Name,Link,Deadline,Award,Eligibility,About,Detailed_Eligibility,Benefits,How_to_Apply
WINGS — WOMEN INSPIRING GROWTH IN STEM SCHOLARSHIP PROGRAM,https://www.buddy4study.com/page/wings-women-inspiring-growth-in-stem,30-Apr-26,Covers tuition fees of the students (INR 2 lakh p.a),For female undergraduate students enrolled at IIT Bombay,"About The Program IIT Bombay’s Distinguished Alumnus Bharat Desai and his wife, Neerja Sethi, have launched a new scholarship initiative at IIT Bombay for women in STEM, named WINGS — Women INspiring Growth in STEM Scholarship Program.  This initiative is aimed at breaking down financial barriers and championing women’s education in science, technology, engineering, and mathematics. About  WINGS This initiative, in collaboration with IIT Bombay and IITBHF (IIT Bombay Heritage Foundation), aims to expand access to and improve the quality of educational opportunities for female students in India. It believes that a world-class education from IIT Bombay will prepare female students to become future leaders. The Program is intended to cover tuition expenses for female undergraduate students of IIT Bombay, beginning in the 2026–2027 academic year, excluding those who qualify for other government tuition grants or scholarship programs.",Female undergraduate students enrolled at IIT Bombay. Students not availing any other government tuition grant or scholarship. The scholarship will continue for students maintaining a CPI of 6.0 or higher.,The scholarship covers tuition fees (Rs 2 lakhs per annum) for women students meeting the above eligibility criteria.,Click the ‘Show Interest’ button above. Login to Buddy4Study with your registered ID and land on the ‘Interest Form Page’. If not registered - Register at Buddy4Study with your Email/Mobile/Gmail account. You will now be redirected to the scholarship Interest form page. Fill in the required details in the online interest form. If all the details filled in by the applicant are correct click on the ‘Submit’ button to complete the process.
"CENTER FOR INTERNATIONAL ENVIRONMENTAL LAW SUMMER LEGAL INTERNSHIP, US 2026",https://www.buddy4study.com/scholarship/ciel-us-legal-internship-summer-2026,30-Apr-26,"Monthly stipend of USD 2,600",Postgraduate law students,"About The Program The Center for International Environmental Law Summer Legal Internship, US 2026 is an opportunity offered by the Center for International Environmental Law (CIEL) for law students at the postgraduate level. The program provides a unique opportunity for law students to enhance their skills in international environmental law and to apply legal strategies aimed at protecting human rights and the environment. Selected candidates will receive a monthly stipend of USD 2,600. Source: ciel.org","To be eligible, an applicant must:- be enrolled in a course of study leading to a postgraduate law degree (JD, LLM) or similar professional qualification for the duration of the internship possess experience with international environmental or human rights law, either through graduate-level courses or work experience be willing to make a ten-week commitment of 40 hours/week for the internship","Selected candidates will receive a monthly stipend of USD 2,600.","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Click ‘Apply for This Job’ and fill in the required details. Step 4: Upload the necessary documents and complete the anonymous demographic survey. Step 5: Click ‘Submit Application’."
JCU INTERNATIONAL EXCELLENCE SCHOLARSHIP 2025,https://www.buddy4study.com/scholarship/jcu-international-excellence-scholarship-2025,01-May-26,25% tuition fee reduction,UG and PG students,"About The Program The JCU International Excellence Scholarship 2025 is offered by James Cook University (JCU), Australia.  This prestigious award recognises outstanding international students with exceptional academic merit who wish to pursue undergraduate or postgraduate coursework at JCU. Selected candidates will receive a 25% reduction in tuition fees for the entire duration of their program.","To be eligible, an applicant must:- be an international student applying for an undergraduate or postgraduate coursework program at JCU have  high academic achievement  not be enrolling in Diplomas, End-on Honours degrees, Bachelor of Medicine, Bachelor of Surgery, Bachelor of Dental Surgery, Graduate Certificates, Graduate Diplomas, or online and non-award programs receive an unconditional or conditional offer of admission from JCU for the 2025 intake",The selected students will receive a 25% reduction in tuition fees per year for the full duration of their study program.,"Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Eligible candidates will be automatically considered for the scholarship; no separate application is required."
IMPERIAL COLLEGE LONDON ANNE SEAGRIM ACCOMMODATION SCHOLARSHIP 2026-27,https://www.buddy4study.com/scholarship/imperial-college-london-anne-seagrim-accommodation-scholarship-2026,01-May-26,"£13,500 toward accommodation costs",Ph.D. applicants,"About The Program The Imperial College London Anne Seagrim Accommodation Scholarship 2026-27 is an opportunity provided by Imperial College, London. It aims to ease financial pressures, allowing talented researchers from around the world to focus on their studies and research. Selected candidates will receive £13,500 toward accommodation costs.","To be eligible, an applicant must:- be a self-funded overseas fee status student have applied and hold an offer of admission to a Ph.D. course under a specified department as of 1 May 2026","Selected candidates will receive £13,500 toward accommodation costs.","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Apply and hold an offer of application to the respective program. Step 4: Click on the scholarship application form link. Step 5: Verify eligibility by answering the provided questions. Step 6: Proceed with the application."
UNIVERSITY OF TWENTE SCHOLARSHIP (UTS) 2026,https://www.buddy4study.com/scholarship/university-of-twente-scholarship-uts-2026,01-May-26,"€3,000- €22,000 for study-related costs",Students holding admission offer to master’s program,"About The Program The University of Twente Scholarship (UTS) 2026 is an opportunity provided by the University of Twente to students pursuing selected master’s programs at the university. The selected candidates will receive up to €22,000 for study-related costs.","To be eligible for the one-year scholarship, an applicant must:- be an Indian national be a meritorious student in the top 5-10% of their class hold a conditional academic admission letter to a UTS master's program have a student number not be a student of a UTS undergraduate course comply with the general English language test requirement Academic IELTS 6.5 (or TOEFL iBT of 90) and an additional 6.0 (TOEFL iBT 20) on the subscore of speaking skills To be eligible for the two-year scholarship, an applicant must:- have obtained an average score of 7 out of 10 at the end of the 3rd quartile of the first year have obtained at least 50% of European credits at the end of the 3rd quartile of the first year meet all the requirements for the one-year scholarship Note:- This scholarship is not available for the pre-master’s program at UTS. Applicants can apply only after receiving the student number.","Selected candidates will receive:- €3,000 - €22,000 (for the duration of the scholarship) for study-related costs. An exclusive opportunity to take part in an intake for one of the three honours programmes: Research honours, Design honours, or Change leaders. Note:- No tuition fees will be paid on the candidate’s behalf.","Eligible candidates can apply for the scholarship through the following steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Apply to an eligible master’s program on the official university website and receive a student number and a conditional admission letter. Step 4: Scroll down to the 'How To Apply' section and click 'University of Twente Scholarship - Apply Now'. Step 5: Follow the instructions to complete the application. Note:- Students rejected in application round one cannot apply again in round 2."
BREDA UNIVERSITY OF APPLIED SCIENCES NL SCHOLARSHIP 2026,https://www.buddy4study.com/scholarship/breda-university-of-applied-sciences-nl-scholarship,01-May-26,"A scholarship of € 5,000",International (non-EEA) undergraduate applicants,"About The Program The Breda University of Applied Sciences NL Scholarship 2026  is an opportunity provided by the Breda University of Applied Sciences and the Dutch Ministry of Education, Culture and Science to undergraduate applicants at the University. This scholarship supports the education of highly talented students. The selected candidates shall receive a scholarship of € 5,000.","To be eligible, an applicant must:- not have lived in Europe for more than 12 months in the past 5 years. not have previously studied in the Netherlands, except as an exchange student for one or two semesters. have achieved excellent academic performance during undergraduate studies. demonstrate a high level of English language proficiency. hold an official admission offer from Breda University of Applied Sciences for a bachelor’s programme.","The selected scholars shall receive a scholarship of € 5,000 to contribute to living costs in the Netherlands.","Eligible candidates can apply for the scholarship through the following steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Students who have received an admission letter for one of BUas bachelor's programmes can apply by sending the mentioned documents to scholarships@buas.nl"
TWAS-CSIR POSTGRADUATE FELLOWSHIP PROGRAMME 2026,https://www.buddy4study.com/scholarship/twas-csir-postgraduate-fellowship-programme-2026,06-May-26,Monthly stipend and other benefits,Ph.D Applicants,"About The Program The TWAS-CSIR Postgraduate Fellowship Programme is jointly offered by the World Academy of Sciences. The fellowship is a prestigious opportunity designed to support outstanding foreign scholars from developing countries who wish to pursue PhD-level research in emerging areas of science and technology at CSIR's network of laboratories and institutes across India. Selected fellows will receive the monthly stipend along with the other benefits. There are two types of fellowship available:- Sandwich Fellowships (for applicants already registered for a PhD in their home country, minimum 6 months, up to 3 years)  Full-Time Fellowships (for applicants not yet registered for a PhD, up to 4 years). Applicants may apply for only one programme per calendar year in the TWAS and OWSD portfolio","To be eligible, an applicant must: be a national of a developing country (other than India) be a maximum age of 35 years as of 31 December of the application year hold a Master's degree (MSc) in science or technology be regularly employed in their home country and hold a research assignment there not hold any visa for temporary or permanent residency in India or any developed country be accepted at a CSIR laboratory or institution and provide an official acceptance letter from the host institution","Selected fellows will receive: A monthly stipend to cover living costs, food, and health insurance (non-convertible to foreign currency) Subsidised accommodation at the host CSIR institution","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button on the official portal at mgos.jharkhand.gov.in. Step 2: Click on the 'Register' button and fill in the required registration details. (Note:- If already registered, log in using your username and password.) Step 3: Scroll down to the ‘APPLY NOW’ button. Step 4: Click on the ‘Create An Account’. Step 5: Fill in the required information and click on the ‘Create Account’ button. Step 6: Login with your credentials and proceed with your application."
UCL GLOBAL MASTER'S SCHOLARSHIP 2026,https://www.buddy4study.com/scholarship/ucl-global-masters-scholarship-2026,07-May-26,"An annual scholarship of GBP 15,000",Master's applicants,"About The Program UCL Global Master's Scholarship 2026 is an opportunity provided by University College London (UCL). It aims to encourage international students from lower-income sections to pursue full-time Master’s degrees at the university. Selected candidates will receive an annual scholarship of GBP 15,000.","To be eligible, an applicant must:- be eligible to pay the overseas fee rate belong to a lower income background have submitted a completed application for a full-time Master’s degree at UCL in 2026/27 Note:- Details on lower income background can be found on the ‘Others’ link below. Distance learning options are ineligible for this scholarship.","A total of 5 selected candidates from India will receive an annual scholarship of GBP 15,000 towards tuition fees for one year. Any remaining funds will be paid towards candidate maintenance. Note:- The scholarship tenure is one year unless the candidate is pursuing a 2 year degree. In this case, the scholarship will be paid 50% each year. This scholarship can be held alongside other fundings depending on the total value of those other fundings. Applicants must inform UCL about any additional funding they receive/are receiving.","Eligible candidates can apply for the scholarship through the following steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details. (Note: If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to the 'How to Apply' and click on 'International Masters Awards'. Step 4: Read the guidelines carefully and log in to Portico with the required details. Step 5: Click on the ‘View’ button for the ‘Active Application’ intended for funding. Step 6: In the application screen, select ‘Funding’ from the menu at the top of the page. Step 7: On the funding page, find out which funds are eligible to apply for by clicking 'Check and apply' under ‘Funds Available’. Step 8: Click on the scholarship name of the scheme intended for application.  Note:- Submitting an admission application to UCL, including references, is required for scholarship eligibility. Applicants must apply for the scholarship separately for each master's program they wish to apply for."
THE CADENCE/INVECAS SCHOLARSHIP PROGRAM 2026-27,https://www.buddy4study.com/page/the-cadence-invecas-scholarship-program,10-May-26,Financial support for key educational expenses,"For undergraduate or postgraduate courses in Delhi-NCR, Bangalore, Pune, Ahmedabad & Hyderabad regions","About The Program The Cadence/Invecas Scholarship program 2026-27 is conceptualized to be all-inclusive. Concern India foundation through support from Cadence Design Private Limited / Invecas, has envisioned the scholarship program with the focus on academically deserving students from an underprivileged background. Under this scholarship, the students pursuing undergraduate or postgraduate courses in Delhi-NCR, Bangalore, Pune, Ahmedabad & Hyderabad regions will receive financial support for their key educational expenses. Our accumulative reach since 2016 has been 728 deserving students from the regions specified. It has enabled them to pursue various degree/professional courses from government institutes/universities/ colleges and helped them chase their dreams.","Have successfully passed 12th class with a minimum overall score of 80%. Pursuing 12th can also apply on the basis of their previous record.  Comes from a lower-income group. Currently reside and study in Delhi NCR, Bangalore, Pune, Ahmedabad & Hyderabad only. (Applications from outside these regions will not be considered.) STEM-related courses and females will be given preference.",Selected students will receive financial support for key educational expenses.,"Click on the ‘Apply Now’ button. Log in to Buddy4Study using your registered ID to access the ‘Application Form page’. If you’re not registered, sign up on Buddy4Study using your Email, Mobile, or Google account. You will be redirected to the “The Cadence/Invecas Scholarship program 2026-27” application form page. A Google application form will open.  Fill the application form and submit."
ICCR INDIA- AFRICA MAITRI SCHOLARSHIP SCHEME FOR AFRICAN COUNTRIES 2026-27,https://www.buddy4study.com/scholarship/iccr-india-africa-maitri-scholarship-scheme-for-african-countries-2026,15-May-26,Full tuition fees and other benefits,Students of Ghana pursuing higher education in India,"About The Program ICCR India- Africa Maitri Scholarship Scheme for African Countries 2026-27 is offered by The Indian Council for Cultural Relations (ICCR), Ministry of External Affairs, Government of India. It aims to support students of Ghana pursuing higher studies in India. Selected candidates will receive full tuition fees, monthly living allowance and other benefits.","To be eligible, an applicant must:- be Ghanaian nationals and should have a passport with a minimum validity of 2 years as of 1 July 2026 be aged a minimum of 18 years and a maximum of 35 years (UG/ PG/ Certificate/ Diploma) or 40 years (Ph.D.) demonstrate English language proficiency via valid proof Note:- There is no upper age limit for courses in Hindi, Sanskrit, any of the Indian performing arts courses unless prescribed by the concerned institution. Scholarships are not provided to study courses in the fields of Medical Science, Para-medical courses like Nursing, Physiotherapy, anaesthesia, Lab technicians, etc., Integrated courses such as BALLB (5 Years), B.Sc. & M.Sc. (5 Years) etc. No admission is provided to foreign students of B.Tech courses in the IITs. Courses at the levels of UG, PG and Ph.D. levels in the disciplines of Ayurveda, Yoga, Unani, Siddha and Homoeopathy are provided under the AYUSH Scholarship Schemes, which will be publicized separately later in the year.",Selected candidates will receive:- Return economy class airfare to the airport nearest to the place of study & 3-tier AC train fare (if so required) to the place of study in India Full tuition fee/ OCF paid to Universities (Norms attached) Stipend Monthly living allowance House rent allowance Contingent allowance Thesis/ dissertation allowance Accommodation in campus hostels/other locations decided by the University,"Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register. (Note:- If already registered, log in using Gmail/Mobile number/Email ID) Step 3: Click ‘Registration’, then click ‘Applicant Registration’. Step 4: Enter/ upload the necessary information to register on the portal. Step 5: After successful registration, log in with valid credentials and proceed with the application."
JOINT JAPAN/WORLD BANK GRADUATE SCHOLARSHIP PROGRAM (JJ/WBGSP) 2026,https://www.buddy4study.com/scholarship/joint-japan-world-bank-graduate-scholarship-program-jj-wbgsp-2026,29-May-26,Tuition fees and other benefits,Applicants of selected master’s degree programs,About The Program The Joint Japan/World Bank Graduate Scholarship Program (JJ/WBGSP) 2026 is an opportunity provided by the World Bank Development Economics Vice Presidency (DEC) and funded by the Government of Japan on an annual basis. The scholarship aims to support applicants of selected master’s degree programs. The selected candidates will receive tuition fees and additional benefits.,"To be eligible, an applicant must:- be an Indian national not hold dual citizenship in a developed country hold a bachelor’s degree earned at least 3 years before the application deadline be employed full-time in development-related work when applying for the scholarship, and have at least three years of relevant paid experience since earning a bachelor's degree, acquired within the past six years be admitted unconditionally to at least one of the participating programs for this scholarship outside of India for the academic year 2026  Note:- Students who are currently enrolled in a participating program are ineligible for this scholarship. Staff or close relatives of staff of the World Bank Group (International Bank for Reconstruction and Development, International Development Association, International Finance Corporation, Multilateral Investment Guarantee Agency, and International Centre for Settlements of Investment Disputes) are ineligible for this scholarship. The list of participating programs is available on the following link: https://www.worldbank.org/en/programs/scholarships/brief/jjwbgsp-participating-programs.","Selected candidates will receive:- Economy class air travel between the host institution and the candidate’s home country at the start and end of the program A travel allowance of USD 600 for each trip Tuition fees for the respective program The cost of basic medical insurance obtained through the institution A monthly subsistence allowance to cover all living expenses like accommodation, food, books, etc.) while on campus Note:- The scholarship will cover the duration of the graduate program or two years, whichever is less. The scholarship will not cover the following: Visa application(s) costs Expenses to bring and/or support a scholar's family members Extra-curricular courses or training Courses that do not meet the minimum credits required to earn the graduate degree Language training not provided by the graduate program Additional travel during the course of the study program Expenses related to research, supplementary educational materials, field trips, participation in workshops/seminars, or internships; or educational equipment such as computers Resident permit fee","Eligible candidates can apply for the scholarship through the following steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to 'Application Window #1' or 'Application Window #2' and click on it. Step 4: Choose the desired program to apply for and click on it, and it will redirect to the respective application page of the institution. Step 5: Complete the application on the institution's website and submit it. Step 6: Acquire the unconditional admission letter from the respective institution. Step 7: Submit the application form on the World Bank Scholarship website along with the required documents. Note:- The link to the online application form will only be communicated by JJ/WBGSP participating programs to the applicants they have shortlisted as eligible."
IMU BREAKOUT GRADUATE FELLOWSHIP PROGRAM 2026,https://www.buddy4study.com/scholarship/imu-breakout-graduate-fellowship-program-2026,30-May-26,"Up to $10,000 per year with other benefits",Nominated PhD students,"About The Program IMU Breakout Graduate Fellowship Program 2026 is an initiative by the International Mathematical Union (IMU) for doctoral degree holders. The objective of this fellowship is to nominate highly motivated, mathematically talented students from developing countries to pursue completion of their doctoral degree in a developing country and in their home country. Selected fellows will receive an amount of $10,000 per year.","To be eligible, an applicant must:- be a resident or citizen of a developing country be either already enrolled in a recognised doctoral program or pre-accepted to join a doctoral program in the first academic year after the time of selection at a recognised university or a research institution demonstrate an outstanding academic track record in mathematical sciences and aspire to a career in mathematical teaching and research have a thesis advisor and a research project Note:- The host institution must be either a recognised university or a research institution in one of the developing countries as defined by IMU.","The selected candidates will receive:- $10,000 per year Full tuition fee Accommodation expenses  Travel expenses to the host institution (if different from the home country) Basic living expenses (depending on the living costs of the respective country)","Eligible applicants can apply for the scholarship through the following steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click the 'Register' button and fill in the required registration details. (Note - If already registered, log in using Gmail/Mobile number/Email ID) Step 3: Scroll down and click on the ""Apply here"" button Step 4: Fill in the required details, upload the relevant documents and submit."
UNIVERSITY OF BIRMINGHAM INDIA CHANCELLOR'S SCHOLARSHIPS 2026-27,https://www.buddy4study.com/scholarship/university-of-birmingham-india-chancellors-scholarships-2026,31-May-26,"£10,000 towards tuition fees",Postgraduate taught applicants,"About The Program University of Birmingham India Chancellor's Scholarships 2026-27 is an opportunity offered by the University of Birmingham to Indian students who have applied for a postgraduate course at the university. Selected candidates will be awarded £10,000 towards tuition fees.","To be eligible, an applicant must:- be a domicile of India have received an offer for a full-time Postgraduate programme at the University of Birmingham, UK campus for September 2026 meet the academic conditions of their offer to the programme be classed by the University as an overseas fee payer for tuition fee purposes be able to pay the outstanding tuition fees not covered under the scholarship have paid the deposit and the net tuition fees within their respective deadlines have sufficient funds to cover their living and related expenses Note:- This scholarship programme is exclusively available for taught master's programmes, excluding the following undergraduate, postgraduate and research degrees: Bachelor of Medicine and Bachelor of Surgery (MBChB) Master of Engineering Master in Science Master of Pharmacy (MPharm) Master of Philosophy (M. Phil.) Master of Research (MRes) Master of Music (MM or MMus) Master of Letters (M.Litt) Postgraduate Diploma (PGDip)  Postgraduate Certificate (PGCert)","Selected candidates will be awarded £10,000 towards their tuition fees.","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register. (Note:- If already registered, log in using Gmail/Mobile number/Email ID.) Step 3: Read the details carefully. Step 4: Apply for the full-time postgraduate programme at the University of Birmingham. Step 5: Once the student receives a formal offer letter, a link to apply for the scholarship will be shared shortly."
"DR. BR AMBEDKAR SCHOLARSHIP FOR TOPPER AWARD, DELHI 2025-26",https://www.buddy4study.com/scholarship/dr-br-ambedkar-scholarship-for-topper-award-delhi-2025,31-May-26,"₹8,000 per stream",SC/ST/OBC/Minoritiy students pursuing professional/technical degree courses,"About The Program Dr. BR Ambedkar Scholarship for Topper Award, Delhi 2025-26 is an opportunity offered by the Department for the Welfare of SC/ST, Government of NCT of Delhi, for topper students belonging to SC/ST/OBC category studying in the technical/professional course. Selected candidates will be awarded ₹8,000 for each stream.","To be eligible, an applicant must:- be an Indian citizen be a domicile of Delhi belong to the Scheduled Caste (SC)/Scheduled Tribe (ST)/Other Backward Class (OBC)/Minority community have passed Class 10 and 12 from a recognised institution located in Delhi be studying a professional/technical degree course at an institute in Delhi have achieved top marks in the final year exams of the respective studies","Selected candidates will receive an award of ₹8,000 in each stream.","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to 'Apply Services' and click on it.  Step 4: Now, click on the 'Register' button, select the Aadhaar card for the document type, enter the Aadhaar number and captcha code.  Step 5: Tick the checkbox and click on the 'Continue' button to register. Step 6: After successful registration, log in using the credentials (user ID, password, and captcha code).  Step 7: Select the scholarship scheme and fillin  the relevant details. Step 8: Upload the required documents in the prescribed format and click on the 'Submit' button."
"PRE-MATRIC SCHOLARSHIP FOR OBC STUDENTS, DELHI 2025-26",https://www.buddy4study.com/scholarship/prematric-scholarship-for-obc-students-delhi-2025,31-May-26,Up to ₹500 per annum,OBC students in Classes 1 to 10,"About The Program Pre-Matric Scholarship for OBC Students, Delhi 2025-26 is an initiative of the Department for the Welfare of SC/ST/OBC/Minority, Government of NCT Delhi to the OBC category students studying in Classes 1 to 10 in Government schools. The selected students will receive up to ₹500 per month.","To be eligible, an applicant must:- be an Indian citizen be a domicile of Delhi belong to the Other Backward Classes (OBC) category  be studying in Classes 9 or 10 in Government schools have passed the previous class have at least 75% attendance in the previous year have an annual family income of less than ₹2,50,000 per annum from all sources","Selected students will receive:- Day Scholars: ₹100 per month (class 1 to 10, minimum 60% attendance in previous year) Hostelers: ₹500 per month (class 3 to 10)","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to 'Apply Services' and click on it.  Step 4: Now, click on the 'Register' button, select the Aadhaar card for the document type, and enter the Aadhaar number and captcha code.  Step 5: Tick the checkbox and click on the 'Continue' button to register. Step 6: After successful registration, log in using the credentials (user ID, password, and captcha code).  Step 7: Select the scholarship scheme and fillin  the relevant details. Step 8: Upload the required documents in the prescribed format and click on the 'Submit' button."
KING'S COLLEGE LONDON VICE-CHANCELLOR'S AWARDS 2026-27,https://www.buddy4study.com/scholarship/kings-college-london-vice-chancellors-awards-2026,31-May-26,"£5,000 fee reduction",Postgraduate applicants,"About The Program The King's College London Vice-Chancellor's Awards 2026-27 is offered by King's College London. The scholarship is a prestigious financial award designed to support outstanding India-domiciled students pursuing postgraduate taught courses across a range of faculties. Selected candidates will receive £5,000 as a tuition fee reduction for 1 year.","To be eligible, an applicant must:- be an India-domiciled international student pursue a full-time, on-campus postgraduate taught degree program in one of the eligible faculties Arts & Humanities The Dickson Poon School of Law Institute of Psychiatry Psychology & Neuroscience King's Business School Life Sciences & Medicine Natural, Mathematical   Engineering Science Nursing, Midwifery & Palliative Care Social Science & Public Policy have accepted their study offer and paid the required deposit by 31 May 2026 Note:- This award is only valid for a first postgraduate degree at King's College London. The scholarship will be applied as a tuition fee reduction only and no cash equivalent will be offered.","The selected students will receive a scholarship worth £5,000 (approx. ₹6,16,564.50) as a tuition fee reduction for postgraduate study.","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Click on the ‘Apply’ button. Step 4: Fill in the required details and click on the ‘Submit’ button."
"POST-MATRIC SCHOLARSHIP FOR OBC STUDENTS, DELHI 2025-26",https://www.buddy4study.com/scholarship/postmatric-scholarship-for-obc-students-delhi-2025,31-May-26,Up to ₹750 per month with other benefits,OBC students in Class 11 and above,"About The Program Post-Matric Scholarship for OBC Students, Delhi 2025-26 is a centrally-sponsored scholarship offered by the Ministry of Social Justice and Empowerment, Government of India, and managed by the Department of Welfare of SC/ST/OBC. The scholarship aims to provide financial assistance to support students who are studying at the post-matriculation/post-secondary level. The selected students will receive up to ₹750 per month and other benefits.","To be eligible, an applicant must:- be an Indian citizen be domiciled in Delhi belong to the Other Backward Class (OBC) category be studying at the post-matriculation/post-secondary level of studies in a government-recognised institution have an annual parent(s)/guardian income of not more than ₹1,00,000 have secured an attendance of at least 75% in the previous year","Selected students will receive the scholarship in the following manner:- Day scholars: ₹260-₹750 per month Hostelers: ₹160-₹350 per month Full Tuition Fee, Registration Fee, Examination Fee, as applicable","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to 'Apply Services' and click on it.  Step 4: Now, click on the 'Register' button, select the Aadhaar card for the document type, enter the Aadhaar number and captcha code.  Step 5: Tick the checkbox and click on the 'Continue' button to register. Step 6: After successful registration, log in using the credentials (user ID, password, and captcha code).  Step 7: Select the scholarship scheme and fill in the relevant details. Step 8: Upload the required documents in the prescribed format and click on the 'Submit' button."
"REIMBURSEMENT OF TUITION FEE FOR SC/ST/OBC (SCHOOL), DELHI 2025-26",https://www.buddy4study.com/scholarship/reimbursement-of-tuition-fee-for-sc-st-obc-school-delhi-2025,31-May-26,"Reimbursement of tuition, lab, and library fees up to ₹48,000 or actual paid, whichever is less",SC/ST/OBC/minority students in Classes 1 to 12,"About The Program Reimbursement of Tuition Fee for SC/ST/OBC (School), Delhi 2025-26 is an opportunity offered by the Department for the Welfare of SC/ST, Government of NCT of Delhi, for students studying in Classes 1 to 12. This scholarship aims to provide reimbursement of the tuition and other compulsory fees to SC, ST OBC, and minority students studying in recognised public schools in Delhi. The selected students will receive up to a 100% reimbursement.","To be eligible, an applicant must:- be a domicile in Delhi belong to the Scheduled Castes (SC)/Scheduled Tribes (ST)/Other Backward Classes(OBC) community/Minorities be enrolled in Class 1 to 12 in a school recognised/affiliated with the Department of Education, Govt. of NCT of Delhi/Municipal local bodies of Delhi have scored 50% or above in the previous class examination have a minimum of 80% attendance in the last year (only for classes 6-12) have an annual family income of not more than ₹2,00,000","The selected students will receive reimbursement as follows:- For income up to ₹60,000: 100% For income of ₹60,001 - ₹2,00,000: 75%","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to 'Apply Services' and click the 'Register' button. Step 4: Select the Aadhaar card for the document type and enter the Aadhaar number and captcha code.  Step 5: Tick the checkbox and click on the 'Continue' button. Step 6: Now, log in using the credentials (user ID, password, and captcha code).  Step 7: Enter the relevant details and select the scholarship scheme. Step 8: Upload the required documents and click on the 'Submit' button."
NUTANIX NEXTGEN INNOVATORS SCHOLARSHIP 2026,https://www.buddy4study.com/scholarship/nutanix-nextgen-innovators-scholarship-2026,31-May-26,"$2,500",Undergraduate students,"About The Program The Nutanix NextGen Innovators Scholarship 2026 is an opportunity provided by Nutanix for Undergraduate students in specified disciplines and institutions. It is a global initiative designed to support and inspire third- and fourth-year undergraduate students pursuing degrees in Computer Science or related fields. Selected candidates will receive a scholarship of $2,500.","To be eligible, an applicant must:- be a resident of India be a full-time undergraduate student entering their 3rd or 4th year of study demonstrate curiosity about the role of AI in shaping the future of tech be committed to innovation, inclusion, and continuous learning be majoring in one of the following: Artificial Intelligence/Machine Learning Computational Mathematics Computer Engineering Computer Science Cybersecurity Data Science Engineering Game Design/Game Development Information Systems Information Technology (IT) Software Engineering Statistics Note: Only students majoring from BITS Pilani, COEP-Pune, IIITM Gwalior, IISc, IIT BHU, IIT Guwahati, IIT Hyderabad, IIT Kanpur, IIT Madras, NID-Bangalore, NIT Allahabad, NIT Bhopal, NIT Surathkal, UVCE - Bangalore are eligible to apply.","Selected candidates will receive a scholarship of $2,500.","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to the ‘Apply’ section and click the button. Step 4: Register successfully with valid information and login with credentials. Step 5: Follow the necessary steps to complete the application."
