Name,Logo,Relative_Path,Link,Deadline,Award,Eligibility,About,Eligibility_Detail,Benefits,Documents,How_to_Apply,Important_Dates,Selection_Criteria,Terms_and_Conditions,Contact_Details,Important_Links,FAQs
VIVO KANYAGYAAN SCHOLARSHIP PROGRAM 2025-26,logos\VIVO_KANYAGYAAN_SCHOLARSHIP_PROGRAM_2025-26.jpg,/page/vivo-kanya-gyaan-scholarship-program,https://www.buddy4study.com/page/vivo-kanya-gyaan-scholarship-program,8 days to go,"Fixed scholarship of INR 60,000 per year for 3 years",For girl students enrolled in UG STEM courses,"The vivo KanyaGyaan Scholarship Program 2025-26 is vivo India’s CSR initiative designed to empower young women from underserved and economically disadvantaged backgrounds across India to pursue education and careers in STEM (Science, Technology, Engineering, and Mathematics) by providing financial assistance, mentorship and industry connect. The program is open to young women currently enrolled in full-time, regular STEM undergraduate courses (first or second year). This initiative enables students to continue their studies without financial barriers while building a strong foundation by receiving curated mentoring sessions which help them for corporate readiness for future STEM careers. Selected scholars will receive an annual scholarship renewable for up to three years.  About vivo India  vivo India commenced its journey in 2014 with a long-term vision to redefine the smartphone experience and create meaningful value in the Indian mobile ecosystem. Since then, vivo India has emerged as a leading manufacturer of smartphones and smart devices.  The company’s presence today spans multiple dimensions - from manufacturing smartphones and bringin","Open to young women across India who are currently enrolled in full-time, regular STEM undergraduate courses such as B.Tech / B.E., B.Sc, BCA, MBBS, etc. (first or second year) at NIRF-ranked colleges; preference will be given to government colleges. Annual parental income must not exceed INR 5 lakh from all sources.  Applicants must have secured at least 70% marks in both Class 10 and Class 12, as well as in their most recent academic year/semester. Children of employees of Buddy4Study or vivo India are ineligible.  Note: Students already receiving full financial assistance under other scholarships or government schemes are also not eligible.  Preference will be given to the following applicants:  Single-parent children  Children from the Aspirational District  Have deceased parents Children from SC, STs and De-Notified Tribes Priority for first-generation learners or those from marginalised communities. Children of Police Forces/Armed Forces/Martyr families Girls Representing State and National Level Sports  Shortlisted candidates will be invited for a final interview conducted by a selection panel.","Selected students will receive a fixed scholarship of INR 60,000 per year for up to three years.  Note: The scholarship will cover essential education-related expenses, including institution fees, hostel and accommodation, food, transport, equipment, and laptop costs, for which the scholar will submit relevant documents for verification as proof.","Recent passport-sized photograph Valid Government Identity Proof (PAN Card, Voter ID, Driving License, etc.) Current academic year admission proof (college ID Card or admission letter) Previous semester/class marksheet Parental Income Certificate (issued by the competent authority) Bank Account Details (Copy of passbook or cancelled cheque in student’s name or joint account with parent/s) Complete Fee Structure Disability certificate (if applicable) Caste Certificate (if applicable) Certificate stating that the applicant has represented their State or National level in sports (if applicable) Undertaking by the applicant confirming that they are a First-Generation Learner or belong to a Marginalised Community (if applicable) Certificate of any position of leadership (if applicable) Declaration by the applicant confirming the authenticity of submitted documents and stating that they are not receiving full financial support from any other scholarship or government scheme. Visible Passion & Aspirations expressed through a short essay / personal statement in 200 words — “Why I want to pursue this field” and “How this scholarship support will help me make an impact.”","Click on the ‘Apply Now’ button. Log in to Buddy4Study using your registered ID to access the ‘Application Form page’. If you’re not registered, sign up on Buddy4Study using your Email, Mobile, or Google account. You will be redirected to the “vivo KanyaGyaan Scholarship Program 2025-26” application form page. Click the ‘Start Application’ button to begin the application process. Fill in the required details in the online application form. Upload the relevant documents. Accept the ‘Terms and Conditions’ and click ‘Preview’. If all the details are correct in the preview, click the ‘Submit’ button to complete your application.","Open to young women across India who are currently enrolled in full-time, regular STEM undergraduate courses such as B.Tech / B.E., B.Sc, BCA, MBBS, etc. (first or second year) at NIRF-ranked colleges; preference will be given to government colleges. Annual parental income must not exceed INR 5 lakh from all sources.  Applicants must have secured at least 70% marks in both Class 10 and Class 12, as well as in their most recent academic year/semester. Children of employees of Buddy4Study or vivo India are ineligible.  Note: Students already receiving full financial assistance under other scholarships or government schemes are also not eligible.  Preference will be given to the following applicants:  Single-parent children  Children from the Aspirational District  Have deceased parents Children from SC, STs and De-Notified Tribes Priority for first-generation learners or those from marginalised communities. Children of Police Forces/Armed Forces/Martyr families Girls Representing State and National Level Sports  Shortlisted candidates will be invited for a final interview conducted by a selection panel.",N/A,N/A,"In case of any queries, please reach out to:",N/A,"Q: Who can apply for this scholarship? | A: Young women across India who are currently enrolled in full-time, regular undergraduate STEM courses (first or second year) at NIRF-ranked colleges; preference will be given to government colleges. || Q: Who can apply for this scholarship? | A: Young women across India who are currently enrolled in full-time, regular undergraduate STEM courses (first or second year) at NIRF-ranked colleges; preference will be given to government colleges. || Q: I am in my first-year of the Bachelor of Dental Surgery (BDS) course. Am I eligible? | A: Courses related to Science, Technology, Engineering, and Mathematics are eligible under this program. || Q: For how many years is the scholarship awarded? | A: Yes, students currently studying in either the first or second year of their undergraduate STEM course are eligible. || Q: Are students receiving other scholarships eligible? | A: The scholarship is renewable for up to three years, subject to meeting renewal criteria. || Q: Do scholars need to maintain a certain academic performance for renewal? | A: No, students already receiving full financial assistance through other scholarships or government schemes are not eligible. || Q: Do scholars need to maintain a certain academic performance for renewal? | A: No, students already receiving full financial assistance through other scholarships or government schemes are not eligible. || Q: Beyond academic performance, are there any additional expectations from scholars for renewal? | A: Yes, scholars must continue their studies and maintain satisfactory academic performance to be eligible for renewal each year. || Q: Beyond academic performance, are there any additional expectations from scholars for renewal? | A: Yes, scholars must continue their studies and maintain satisfactory academic performance to be eligible for renewal each year."
OIST RESEARCH INTERNSHIP PROGRAM 2026,logos\OIST_RESEARCH_INTERNSHIP_PROGRAM_2026.png,/scholarship/oist-research-internship-program,https://www.buddy4study.com/scholarship/oist-research-internship-program,8 days to go,Daily allowance and a fully-funded internship,UG and PG students or recent graduates,The OIST Research Internship Program 2026 is an opportunity provided by the Okinawa Institute of Science and Technology (OIST) to UG and PG students or recent graduates. The selected students will receive a daily allowance and a fully-funded internship.,UG and PG students or recent graduates,The selected candidates will receive a daily allowance and a fully-funded internship.,Academic transcripts Statement of Purpose Curriculum Vitae (CV) Recommendation Letter Passport Recent passport size photograph,"Eligible candidates can apply for the scholarship through the following steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Click on the red colour ‘Apply Now’ button on the lower right hand side of the page.  Step 4: Click ‘Create an account’ and enter the mentioned details.  Step 5: Click on the ‘Continue’ button. You will receive an email with a temporary PIN.  Step 6: Enter the temporary PIN and your date of birth.  Step 7: Enter a password of your choice and click on the ‘Set Password’ button.  Step 8: Click ‘Start New Application’ and select ‘Research internship application’ from the dropdown menu.  Step 9: Click ‘Create Application’ and then ‘Open Application’  Step 10: Read all the instructions and information`carefully, tick the check boxes, and click on ‘Continue’ Step 11: Enter all the mentioned details accurately and submit your application.",Application Deadline: 15 April 2026,Applicants will be selected based on their merit and fulfillment of the eligibility criteria.,N/A,"Okinawa Institute of Science and Technology 1919-1 Tancha, Onna-son,  Kunigami-gun, Okinawa,  Japan 904-0495 Phone No. (+81) 98-966-2184 (only on weekdays from 9:00 AM to 5:30 PM) Source: www.oist.jp/admissions/research-internship",Media Link Apply online link,Question: Who is providing this scholarship? Answer: The  Okinawa Institute of Science and Technology (OIST) is offering this opportunity.  Question: What is the application deadline for this scholarship? Answer: The application deadline for this scholarship is 15 April 2026.  Question: Who can apply for this scholarship? Answer: UG and PG students or recent graduates can apply for this scholarship.   Question: What are the benefits of this scholarship? Answer: The selected candidates will receive a daily allowance and a fully-funded internship.
UNIVERSITY OF HAMBURG MERIT SCHOLARSHIP 2026,logos\UNIVERSITY_OF_HAMBURG_MERIT_SCHOLARSHIP_2026.png,/scholarship/university-of-hamburg-merit-scholarship,https://www.buddy4study.com/scholarship/university-of-hamburg-merit-scholarship,8 days to go,Monthly scholarship of up to €992,Students pursuing a degree at the Universität Hamburg for at least 2 semesters,The University of Hamburg Merit Scholarship 2026 is an opportunity offered by the University of Hamburg to students pursuing a degree at the Universität Hamburg for at least 2 semesters. The selected candidates shall receive a monthly scholarship of up to €992 for a maximum period of 2 years.,Students pursuing a degree at the Universität Hamburg for at least 2 semesters,The selected candidates shall receive a monthly scholarship of up to €992.,"Curriculum Vitae Motivation Letter (PDF format) STiNE printout of  ""Leistungskonto"" or a current transcript of records )for Students in a Bachelor's degree program and students in a degree program concluding with a state examination) Master’s degree students must submit the following documents: The most recent degree certificate with grades, issued in English or German. Either the STiNE printout of the “Leistungskonto” or a current transcript of records. Evaluations from 2 full-time teaching staff members Proof of subject-related additional achievements and academic awards Residence permit of Non-EU citizen","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Scroll down to the Application section.  Step 4: Click on ‘Application form (deadline: 15 April)’ Step 5: Log in using your STiNE ID. You will receive an invitation to register and complete your application.",Application Deadline: 15 April 2026,The scholars are selected based on their eligibility and academic merit.,N/A,University of Hamburg Mittelweg 177 20148 Hamburg Phone No. +49 40 42838-0  Source: www.uni-hamburg.de/en/internationales,Apply online link Media Link,Question: Who is offering this scholarship opportunity? Answer: The University of Hamburg is offering this opportunity.  Question: Who can apply for this scholarship? Answer: Students pursuing a degree at the Universität Hamburg for at least 2 semesters are eligible for this scholarship.   Question: What are the benefits of this scholarship? Answer: The selected candidates shall receive a monthly scholarship of up to €992.   Question: What is the last date to apply for this scholarship? Answer: The last date to apply for this scholarship is 15 April 2026.
"BAYER FOUNDATION SCIENTIFIC FELLOWSHIPS FOR MASTER, PHD, AND MEDICAL STUDENTS 2026",logos\BAYER_FOUNDATION_SCIENTIFIC_FELLOWSHIPS_FOR_MASTER.png,/scholarship/bayer-foundation-scientific-fellowships-for-master-phd-and-medical-students-2026,https://www.buddy4study.com/scholarship/bayer-foundation-scientific-fellowships-for-master-phd-and-medical-students-2026,8 days to go,"Up to €10,000 in funding",M.Sc. & Ph.D. students,"The Bayer Foundation Scientific Fellowships for Master, PhD, and Medical Students 2026 is an opportunity offered by the Bayer Foundation for postgraduate students in medical fields. It aims to provide exceptional individuals with unique opportunities to become the boundary-breakers of tomorrow by developing essential skills, gaining new perspectives, and building important relationships worldwide. Selected candidates will receive up to €10,000 in funding.",M.Sc. & Ph.D. students,"Selected candidates will receive up to €10,000 in funding for a maximum duration of 6 months.  The fund can be used for travel costs, visa costs, living costs, childcare, exceptional costs, e.g., machine time at specialist institutes, specialist training for field studies; costs that are essential to ensure the project can be undertaken. However, it cannot be used for lab consumables or equipment; laptops, tablets or similar; conferences, workshops or similar; costs for writing papers, books, reviews or similar; guest lectures, visiting professorships or similar; course fees, e.g., fees for studies in a foreign country.",Letter of support/acceptance from the self-selected host institute 2 letters of recommendation Certificates for any completed studies Transcripts in English (exam marks and similar) (if needed) 1-minute video Acceptance letter of the next study program (if relevant),"Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to the respective ‘Apply Now!’ button and click it.1 Step 4: Read the information carefully and proceed with the application form. Step 5: Follow the necessary steps by providing the required details and documents to complete and submit the application.  Note:-  The entire application and the documents must be in English. Multiple applications will result in rejection. Applicants must submit only one application.",Application Start: 18 February 2026 Application Deadline: 15 April 2026,"The Bayer Foundation will conduct an initial review of applications for completeness. An independent jury of scientists will evaluate and rank them based on fundamental quality, applicant motivation, fellowship value, and preference for collaborative or interdisciplinary proposals.",N/A,Bayer Foundation Email ID: bayer.foundations@bayer.com Source: https://www.bayer-foundation.com/science/fellowships-stipends,Apply online link Media Link,Question: Who is offering this opportunity? Answer: The Bayer Foundation offers this opportunity.  Question: Are any extra expenses provided? Answer: No other expenses are provided.  Question: What is the mode of application? Answer: The application is online through the official website.
ICCR LATA MANGESHKAR DANCE & MUSIC SCHOLARSHIP SCHEME 2026-27,logos\ICCR_LATA_MANGESHKAR_DANCE_&_MUSIC_SCHOLARSHIP_SCH.png,/scholarship/iccr-lata-mangeshkar-dance-music-scholarship-scheme-2026,https://www.buddy4study.com/scholarship/iccr-lata-mangeshkar-dance-music-scholarship-scheme-2026,8 days to go,Tuition fees and other benefits,Students of Ghana pursuing higher education in India,"ICCR Lata Mangeshkar Dance & Music Scholarship Scheme 2026-27 is offered by The Indian Council for Cultural Relations (ICCR), Ministry of External Affairs, Government of India. It aims to support students of Ghana pursuing higher studies in India. Selected candidates will receive tuition fees, monthly living allowance and other benefits.",Students of Ghana pursuing higher education in India,Selected candidates will receive:-  Return economy class airfare to the airport nearest to the place of study & 3-tier AC train fare (if so required) to the place of study in India Tuition fee/ OCF paid to Universities (Norms attached) Stipend Monthly living allowance House rent allowance Contingent allowance Thesis/ dissertation allowance,"Valid passport and age proof Academic transcripts Medical fitness certificate 500-word essay in English/TOEFL, IELTS, or equivalent English proficiency scores   Note:- All supporting documents must be submitted in English or accompanied by certified English translations.","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register. (Note:- If already registered, log in using Gmail/Mobile number/Email ID) Step 3: Click ‘Registration’, then click ‘Applicant Registration’. Step 4: Enter/ upload the necessary information to register on the portal. Step 5: After successful registration, log in with valid credentials and proceed with the application.",Portal Opening Date: 27th February 2026 Application Deadline: 15th April 2026,Candidates will be selected based on merit and fulfilment of the eligibility criteria.,N/A,"High Commission of India, No.9 Ridge Road Roman Ridge, PO Box CT-5708 Cantonments, Accra, Ghana Email ID: info.accra@mea.gov.in, dpa.accra@mea.gov.in Source: https://www.hciaccra.gov.in/listview/MTA1Mw",Media Link Apply online link,"Question: Who is offering this opportunity? Answer: The Indian Council for Cultural Relations (ICCR), Ministry of External Affairs, Government of India, is offering this opportunity.  Question: Are there extra benefits for disabled students? Answer: All candidates will receive equal benefits.  Question: Are accommodation expenses provided? Answer: Hostel/ private, accommodation charges, and mess charges are not provided under this scholarship.   Question: What is the mode of application? Answer: The application is online through the official A2A scholarship portal."
MIT-WPU ADMISSION SCHOLARSHIP 2026-27,logos\MIT-WPU_ADMISSION_SCHOLARSHIP_2026-27.png,/scholarship/mit-wpu-admission-scholarship-2026,https://www.buddy4study.com/scholarship/mit-wpu-admission-scholarship-2026,8 days to go,Variable benefits,Students pursuing higher education at the university,"The MIT-WPU Admission Scholarship 2026-27 is an opportunity offered by MIT World Peace University, which provides financial assistance and scholarships worth ₹50 crores to meritorious students pursuing higher education at their university. Selected candidates will receive various benefits under multiple available opportunities.",Students pursuing higher education at the university,Selected candidates will receive:-  MIT-WPU Merit Scholarship-I: 50% fee waiver in total academic fee for the entire duration of the program. MIT-WPU Merit Scholarship-II: 25% fee waiver in total academic fee for the entire duration of the program. Dr. Vishwanath Karad Scholarship: 100% fee waiver for the entire duration of the program. Scholarships to Elite Sportsperson: Up to 70% fee waiver based on participation/awards at the national/international level. Hon'ble Shri. T. N. Seshan Scholarship: 15% fee waiver for the wards of in-service public servants with a minimum of 5 years of experience in government service.,N/A,"Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: No separate application is required. Applicants will be assessed based on admission and academic performance.","Application Deadline: 7 January 2026 Application Deadline: 15 April 2026 (B.Tech, B.Pharm, Pharm.D)",Candidates will be selected based on admission and academic performance.,N/A,"MIT World Peace University, Pune Survey No, 124, Paud Rd, Kothrud Pune, Maharashtra 411038 Email ID: admissions@mitwpu.edu.in | Contact Number: +91 20 –7117 7104/7105 Source: https://mitwpu.edu.in/scholarship-details",Apply online link Media Link,"Question: Who is offering this opportunity? Answer: The MIT World Peace University is offering this opportunity.  Question: Are there extra benefits for disabled students? Answer: All candidates will receive equal benefits.  Question: Are the scholarships renewable? Answer: Scholarships are renewable subject to academic performance, attendance and discipline.  Question: What is the mode of application? Answer: The application is online through the official university website."
NIDM INTERNSHIP PROGRAMME 2026,logos\NIDM_INTERNSHIP_PROGRAMME_2026.png,/scholarship/nidm-internship-programme-2026,https://www.buddy4study.com/scholarship/nidm-internship-programme-2026,8 days to go,"Stipend upto ₹15,000",UG and PG students in the Disaster Management field,"NIDM Internship Program 2026 is offered by the National Institute of Disaster Management (NIDM), under the Ministry of Home Affairs, Government of India. The programme is designed to engage young minds in disaster risk reduction and build their capacity through hands-on, experiential learning.   This internship consists of both non-stipend and stipend-based internship tracks, which are available for students from recognised universities and institutes across India. The student selected for the stipend program will receive the stipend up to ₹15,000.",UG and PG students in the Disaster Management field,"Non-Stipend Internship:  Hands-on exposure to disaster risk reduction work  Stipend-Based Internship:  Stipend of ₹12,000 per month for undergraduate students Stipend of ₹15,000 per month for postgraduate students",SoP ( information about interest in Disaster Risk Reduction)  Curriculum vitae,"Eligible applicants can apply by following these steps:-  Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to the ‘Stipend-based Internship Programme (2026-27) New’. Step 4: Fill in the required fields in the Google form and upload the necessary documents. Then, click on the ‘Submit’ button.",Application Deadline: 15th April 2026,"Candidates will be selected based on academic merit, relevance of their field of study to disaster management, and availability of positions at NIDM.","Interns must submit a final report in the prescribed format, and all internship outputs shall remain the property of NIDM. Certificates will be issued only upon successful completion and formal approval of the report.  Internships are primarily on-site (NIDM Delhi and Vijayawada campuses); limited remote work may be permitted after one week of physical joining, subject to mentor approval.","National Institute of Disaster Management, Delhi Plot No. 15, Pocket-3, Block-B, Sector-29, Rohini, Delhi - 110042 Tel No.: 011-20873412 Email ID: info.nidm@nic.in | Contact Number: 011-20873412     National Institute of Disaster Management, Vijayawada (South Campus) Kondapavaluru Village, Gannavaram Mandal, Krishna District, Andhra Pradesh - 521212 Email ID: info.nidm@nic.in  Source: https://nidm.gov.in/internship.asp",Media Link Apply online link,"Question: Who is offering the NIDM Internship Program 2026?  Answer: The National Institute of Disaster Management (NIDM), under the Ministry of Home Affairs, Government of India, is offering this opportunity.  Question: What is the stipend for the internship?  Answer: Stipend-based interns receive ₹12,000 per month if pursuing undergraduate studies and ₹15,000 per month if pursuing postgraduate studies.  Question: Who is eligible for the NIDM Internship Program 2026? Answer: Students in the final year of graduation (with minimum 60% marks) or students in any year/semester of postgraduation from recognised universities in relevant disciplines are eligible for the non-stipend track. For the stipend-based track, students with at least 65% marks in their last academic programme are eligible for the internship.  Question: What is the duration of the internship?  Answer: The non-stipend internship runs for a minimum of 2 months and a maximum of 6 months. The stipend-based internship runs for 8 to 16 weeks per session.  Question: What is the mode of application?  Answer: The application is online via the official portal."
IMPERIAL COLLEGE LONDON INTERNATIONAL BACCALAUREATE EXCELLENCE SCHOLARSHIPS 2026-27,logos\IMPERIAL_COLLEGE_LONDON_INTERNATIONAL_BACCALAUREAT.png,/scholarship/imperial-college-london-international-baccalaureate-excellence-scholarships-2026,https://www.buddy4study.com/scholarship/imperial-college-london-international-baccalaureate-excellence-scholarships-2026,24 April 2026,"£5,000 per annum",Undergraduate students,"The Imperial College London International Baccalaureate Excellence Scholarships 2026-27 is an opportunity provided by Imperial College, London, to undergraduate students in specified departments. Selected candidates will receive a bursary of £5,000 per annum for the duration of their study.",Undergraduate students,"Selected candidates will receive a bursary of £5,000 per annum for the duration of their studies.",N/A,"Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: There is no separate application. Outstanding IB applicants will be nominated for this scholarship by the Imperial faculties and departments during the admission process.",Application Deadline: 24 April 2026,Academic achievements and the potential for success at Imperial will be considered during the nomination process.,N/A,"Imperial College London South Kensington Campus London SW7 2AZ, UK Email ID: student.funding@imperial.ac.uk | Contact Number: (+44 0) 20 7589 5111 Source: imperial.ac.uk",Apply online link Media Link,"Question: Who is offering this opportunity? Answer: The Imperial College is offering this opportunity.  Question: Are there extra benefits for disabled students? Answer: All candidates will receive equal benefits.  Question: Are only full-time students eligible? Answer: Yes, only full-time students are eligible.  Question: What is the mode of application? Answer: The application is online through the official university website."
WINGS — WOMEN INSPIRING GROWTH IN STEM SCHOLARSHIP PROGRAM,logos\WINGS_—_WOMEN_INSPIRING_GROWTH_IN_STEM_SCHOLARSHIP.jpg,/page/wings-women-inspiring-growth-in-stem,https://www.buddy4study.com/page/wings-women-inspiring-growth-in-stem,30 April 2026,Covers tuition fees of the students (INR 2 lakh p.a),For female undergraduate students enrolled at IIT Bombay,"IIT Bombay’s Distinguished Alumnus Bharat Desai and his wife, Neerja Sethi, have launched a new scholarship initiative at IIT Bombay for women in STEM, named WINGS — Women INspiring Growth in STEM Scholarship Program.  This initiative is aimed at breaking down financial barriers and championing women’s education in science, technology, engineering, and mathematics.  About  WINGS  This initiative, in collaboration with IIT Bombay and IITBHF (IIT Bombay Heritage Foundation), aims to expand access to and improve the quality of educational opportunities for female students in India. It believes that a world-class education from IIT Bombay will prepare female students to become future leaders.  The Program is intended to cover tuition expenses for female undergraduate students of IIT Bombay, beginning in the 2026–2027 academic year, excluding those who qualify for other government tuition grants or scholarship programs.",Female undergraduate students enrolled at IIT Bombay. Students not availing any other government tuition grant or scholarship. The scholarship will continue for students maintaining a CPI of 6.0 or higher.,The scholarship covers tuition fees (Rs 2 lakhs per annum) for women students meeting the above eligibility criteria.,No documents are required at this stage.,Click the ‘Show Interest’ button above. Login to Buddy4Study with your registered ID and land on the ‘Interest Form Page’. If not registered - Register at Buddy4Study with your Email/Mobile/Gmail account. You will now be redirected to the scholarship Interest form page. Fill in the required details in the online interest form. If all the details filled in by the applicant are correct click on the ‘Submit’ button to complete the process.,N/A,N/A,N/A,"In case of any queries, please reach out to:",N/A,Q: What does the scholarship cover? | A: The Scholarship covers the tuition fees of 2 Lakh Rupees per year.
LPUNEST STUDY GRANT 2026-27,logos\LPUNEST_STUDY_GRANT_2026-27.png,/scholarship/lpunest-study-grant-2026,https://www.buddy4study.com/scholarship/lpunest-study-grant-2026,30 April 2026,Study grant of ₹1 Lakh,Top LPUNEST qualifiers,"The LPUNEST Study Grant (8th Edition) 2026-27 is a flagship initiative of Lovely Professional University that aims to ensure that financial limitations do not hinder access to quality higher education. Through this program, LPU supports meritorious and deserving students pursuing studies at premier institutions such as IITs, NITs, AIIMS, IIMs, NLUs, and other Central and State Government institutions ranked in the NIRF India Ranking 2025. Since its inception in 2019, the LPUNEST Study Grant has benefitted over 670 students by disbursing more than ₹8 Crore in financial assistance. The 8th edition seeks to continue this commitment by providing study grants to eligible candidates across India.",Top LPUNEST qualifiers,"Institute	Eligible Programs	Students to be considered	Amount of grant (per student)   IITs/NITs  	  B.E/B.Tech  	  Top 500 candidates of LPUNEST B.Tech 2026  	  ₹1,00,000     All AIIMS or Government Universities/Colleges (Central/State) ranked in NIRF India Ranking 2025: Medical  	  MBBS  	  Top 100 candidates of LPUNEST UG Sciences 2026*     IIMs  	  Post Graduate Programmes  	  Top 100 candidates of LPUNEST MBA 2026     NIDs/IIT(IDCs)/IIT(DoDs)/NIFTs  	  B.Des/B.F.Tech  	  Top 100 candidates of LPUNEST UG Design 2026     NLUs  	  B.A. LLB (Hons)/B.Com LLB (Hons)/BBA LLB (Hons)/B.Sc LLB (Hons)  	  Top 100 candidates of LPUNEST Int LAW 2026     IHMs  	  B.Sc.  	  Top 100 candidates of LPUNEST UG Hotel Management 2026  *LPUNEST (UG Agriculture, Pharmacy and Physiotherapy) and LPUNEST (Under Graduate (with science combination)) taken together.",Documents required for claiming Study grant:  Admission/offer letter Registration number Fee receipts Bonafide certificate Applicant’s Aadhar card Score card of the entrance test (based on which admission was done),"STEP 1	Register for LPUNEST 2026	- STEP 2	Complete all the process, and appear for LPUNEST	Qualifying LPUNEST is mandatory STEP 3	The candidate has to take admission in any of the select institute (as mentioned on the university website)	www.lpu.in/studygrant (for more details) After taking admission in any of the listed institutes STEP 4	Login at the LPUAdmit portal with your registered email/phone number and password	  STEP 5	Click on Apply for Study Grant claim tab, which will be visible once the counselling of all considered institutes are over	  STEP 6	Enter your details, name of institute where you got admission, select the course and submit all the documents as mentioned in the next column.	  STEP 7	Submit your Studygrant form and wait for the result declaration	  The details and proofs submitted by the candidate will be cross-checked and after the verification, the merit list will be declared as per the institutes and the candidate can check their status of selection at the LPUAdmit portal. STEP 8	Result Declaration	  STEP 9	Verification of    Original Documents and Disbursement",Application Deadline: 30th April 2026  The last date to apply for the LPUNEST application form for the academic session 2026–27 is 30th April 2026 (can be extended as LPUNEST exam is conducted in multiple schedules).,Candidates are required to satisfy the above-mentioned conditions and submits all the listed documents for claiming study grant.,N/A,"Lovely Professional University Jalandhar-Delhi, G.T. Road, Phagwara, Punjab (INDIA) -144411 Email ID: lpunest@lpu.co.in, admissions@lpu.co.in | Contact Number: +91-1824-517000/404404 Source: lpu.in",Media Link Apply online link,Question: Who is offering this opportunity? Answer: The Lovely Professional University is offering this opportunity.  Question: What is the mode of application? Answer: The application is online through the official website.
STEM SCHOLARSHIP INTEREST FORM 2026-27,logos\STEM_SCHOLARSHIP_INTEREST_FORM_2026-27.png,/page/stem-scholarship-interest-form,https://www.buddy4study.com/page/stem-scholarship-interest-form,30 April 2026,Priority consideration for various upcoming STEM scholarships,For students passionate about STEM,"The STEM Scholarship Interest Form 2026-27, an initiative by Buddy4Study, is designed to identify and prioritize exceptional students with a strong passion and potential in the fields of Science, Technology, Engineering, and Mathematics (STEM).  By completing this short interest form and submitting the required documents, students will receive priority consideration for a variety of upcoming STEM scholarships, providing them with valuable financial support for their academic journey.  This form acts as an initial step for students to express their interest in STEM scholarships, enabling Buddy4Study to efficiently distribute resources and opportunities to deserving candidates.","Applicants must be Indian citizens. Applicants must be Class 12 students or recent graduates of Class 12, intending to pursue an undergraduate degree in Science, Technology, Engineering, and Mathematics (STEM). Applicants must have secured a minimum of 75% marks in both Class 10 and Class 12, with core subjects including Physics, Chemistry, and Mathematics/Biology. Applicants must be seeking admission or have already been admitted to an undergraduate STEM course at an accredited university/institution for the academic year 2026-27.  Note: Preference will be given to students from economically weaker sections (EWS).",Selected students will receive priority consideration for a range of upcoming STEM scholarships.,"Applicants are required to submit the following documents:  Class 10 marksheet Class 12 marksheet Entrance examination (JEE, NEET, etc.) scorecard  Note:  Ensure that the interest form is filled out with accurate details. Upload all required documents in the specified format and size.",Click on the ‘Apply Now’ button below. Register/log in to Buddy4Study to continue to the ‘STEM Scholarship Interest Form 2026-27’ page.  Read all the details carefully and click on the ‘Start Application’ button. Fill in the required details in the online interest form and upload relevant documents. Click on the ‘Submit’ button to complete the application process.,N/A,N/A,N/A,"In case of any queries, please reach out to:",N/A,"Q: What is the STEM Scholarship Interest Form 2026-27? | A: It is an initiative by Buddy4Study to prioritize students with a passion for STEM and offer them financial support through upcoming scholarships. || Q: What is the STEM Scholarship Interest Form 2026-27? | A: It is an initiative by Buddy4Study to prioritize students with a passion for STEM and offer them financial support through upcoming scholarships. || Q: How do I apply? | A: Indian citizens who are Class 12 students or have recently completed their Class 12 education and are aiming for an undergraduate STEM degree, while meeting the eligibility criteria. || Q: How do I apply? | A: Indian citizens who are Class 12 students or have recently completed their Class 12 education and are aiming for an undergraduate STEM degree, while meeting the eligibility criteria. || Q: Will submitting the form guarantee scholarships? | A: Register/log in on Buddy4Study, fill out the interest form, upload documents, and submit your application. || Q: Can I apply for multiple scholarships? | A: No, the form ensures priority consideration for upcoming STEM scholarships but does not guarantee selection."
