Name,Logo,Relative_Path,Link,Deadline,Award,Eligibility,About,Eligibility_Detail,Benefits,Documents,How_to_Apply,Important_Dates,Selection_Criteria,Terms_and_Conditions,Contact_Details,Important_Links,FAQs
ROLLS-ROYCE WINGS4HER KIND CIRCLE SCHOLARSHIP 2025–26,logos\ROLLS-ROYCE_WINGS4HER_KIND_CIRCLE_SCHOLARSHIP_2025.jpg,/page/rolls-royce-wings4her-kind-circle-scholarship,https://www.buddy4study.com/page/rolls-royce-wings4her-kind-circle-scholarship,30-Apr-26,"Fixed one-time scholarship of INR 25,000",For female students pursuing full-time undergraduate engineering programme,"The Rolls-Royce Wings4Her Kind Circle Scholarship 2025–26 is a distinguished initiative by Rolls-Royce India Pvt. Ltd., designed to provide financial assistance to exceptional female students pursuing engineering degrees. This scholarship is specifically available to female students enrolled in the 1st, 2nd, or 3rd year of undergraduate engineering programs at AICTE-recognised institutions across India. Awardees of this scholarship will receive INR 25,000 to support their academic expenses throughout their engineering studies. Additionally, the program offers valuable mentorship opportunities with leading professionals from Rolls-Royce India, further enriching the scholarship experience and strengthening the support system for eligible students.  About Rolls-Royce India  Rolls-Royce India’s Corporate Social Responsibility (CSR) initiatives reflect the company’s unwavering commitment to creating a sustainable and positive impact on society. By leveraging its technological expertise and global presence, Rolls-Royce India has focused on fostering education, skill development, and environmental sustainability. The o","To be eligible under the Rolls-Royce Wings4Her Kind Circle Scholarship 2025–26, applicants must:  Be female students currently pursuing a full-time undergraduate engineering programme Be studying in the 1st, 2nd, or 3rd year of the engineering course Be enrolled at an AICTE-recognised institution in India Be pursuing engineering in disciplines such as aerospace, computer science, electronics, marine engineering, or related fields Have scored at least 60% marks in both Class 10 and Class 12 board examinations Have a total annual family income not exceeding INR 4,00,000 from all sources  Note: Preference will be given to applicants who are:  Persons with disabilities Single-parent children or orphans Studying in government colleges Final selection will be merit-cum-means based and rests with RRIPL.","Each selected scholar will receive a fixed one-time scholarship of INR 25,000. Support may include:  Tuition fees Books and study materials Coaching Examination fees Transport and local commute Food and basic living expenses for outstation students not living with their parents Essential academic and skill-development requirements","Passport-sized photograph Aadhaar card Current academic year admission proof [AY 2025-26 (college ID card/admission fees receipt, bona-fide certificate/ admission letter, etc.)] Class 10 and Class 12 marksheet (self-attested copy) Previous academic year marksheet (2024-25) Bank account details of the scholarship applicant (cancelled cheque/passbook copy) Family income proof (any of the three proofs given below): Income proof issued by Gram Panchayat/Ward Counsellor/Sarpanch Income proof issued by SDM/DM/CO/Tehsildar Salary slip","Click the ‘Apply Now’ button below. Log in to Buddy4Study with your registered ID and land on the ‘Application Form Page’. If not registered, register at Buddy4Study with your Email/Mobile/Gmail account. You will now be redirected to the ‘Rolls-Royce Wings4Her Kind Circle Scholarship 2025–26’ application form page. Click on the ‘Start Application’ button to begin the application process. Fill in the required details in the online application form. Upload relevant documents. Accept the ‘Terms and Conditions’ and click on ‘Preview’. If all the details filled in by the applicant are correctly showing on the preview screen, click on the ‘Submit’ button to complete the application process.","To be eligible under the Rolls-Royce Wings4Her Kind Circle Scholarship 2025–26, applicants must:  Be female students currently pursuing a full-time undergraduate engineering programme Be studying in the 1st, 2nd, or 3rd year of the engineering course Be enrolled at an AICTE-recognised institution in India Be pursuing engineering in disciplines such as aerospace, computer science, electronics, marine engineering, or related fields Have scored at least 60% marks in both Class 10 and Class 12 board examinations Have a total annual family income not exceeding INR 4,00,000 from all sources  Note: Preference will be given to applicants who are:  Persons with disabilities Single-parent children or orphans Studying in government colleges Final selection will be merit-cum-means based and rests with RRIPL.",N/A,N/A,"In case of any queries, please reach out to:",N/A,"Q: What is the selection process for this scholarship program? | A: The selection process for the Rolls-Royce Wings4Her Kind Circle Scholarship 2025–26 is comprehensive and multi-stage, ensuring a thorough evaluation of each applicant. Scholars will be selected based on percentile ranking from previous academic performance, family income, and overall academic background. The key steps in the selection process are as follows: Screening of scholarship applications based on merit and financial need Document verification Telephonic interviews for further shortlisting of candidates Face-to-face interviews for final selection (if required) || Q: What is the selection process for this scholarship program? | A: The selection process for the Rolls-Royce Wings4Her Kind Circle Scholarship 2025–26 is comprehensive and multi-stage, ensuring a thorough evaluation of each applicant. Scholars will be selected based on percentile ranking from previous academic performance, family income, and overall academic background. The key steps in the selection process are as follows: Screening of scholarship applications based on merit and financial need Document verification Telephonic interviews for further shortlisting of candidates Face-to-face interviews for final selection (if required) || Q: Is it a one-time scholarship or renewable? | A: You are eligible to apply for this scholarship. Preference will be given to students who have applied for the Rolls-Royce Wings4Her Scholarship for Women Engineering Students 2025–26 and demonstrate strong academic merit and high financial need. || Q: Is it a one-time scholarship or renewable? | A: You are eligible to apply for this scholarship. Preference will be given to students who have applied for the Rolls-Royce Wings4Her Scholarship for Women Engineering Students 2025–26 and demonstrate strong academic merit and high financial need. || Q: How will the scholarship amount be disbursed if I get selected for this program? | A: The scholarship is awarded as a one-time opportunity for students to pursue their undergraduate engineering program. || Q: Is there a minimum percentage required to apply for the mentorship program? | A: The scholarship amount will be disbursed directly to the scholar's bank account upon selection."
KIRAN PRATIBHA SCHOLARSHIP 2026,logos\KIRAN_PRATIBHA_SCHOLARSHIP_2026.png,/scholarship/kiran-pratibha-scholarship-2026,https://www.buddy4study.com/scholarship/kiran-pratibha-scholarship-2026,30-Apr-26,Tuition fee and other benefits,Students who have passed the 8th standard or are at least 14 years of age,"The Kiran Pratibha Scholarship 2026  is an opportunity provided by the Kiran Foundation to Students who have passed the 8th standard or are at least 14 years of age. This scholarship supports the education of highly talented, underprivileged students. The selected candidates shall receive tuition fee and other benefits.",Students who have passed the 8th standard or are at least 14 years of age,The selected candidates shall receive:  Tuition fees Study materials and equipments Boarding expenses Career guidance and mentorship,Identity proof Previous year marksheets Letter of Recommendation (2),"Eligible candidates can apply for the scholarship through the following steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Scroll down and click ‘Apply for Scholarship’ Step 4: Fill in the mentioned details in the application form and submit it.",Application Deadline: 30th April 2026,Students are selected based on their merit fulfilment of the eligibility criteria.,N/A,"Kiran Social Foundation  101 Sahil Veer Apartments,  Vandana Nagar,  Indore 452018 Madhya Pradesh Email ID: info@kiran.foundation | Contact Number: +91-9303997100 +91-9880141412 Source: kiran.foundation",Media Link Apply online link,Question: Who is offering this scholarship opportunity? Answer: The Kiran Foundation is offering this opportunity.   Question: Who can apply for this scholarship? Answer: Students who have passed the 8th standard or are at least 14 years of age are eligible for this scholarship.   Question: What are the benefits of this scholarship? Answer: The scholarship shall offer tuition fee and other benefits .    Question: What is the last date to apply for this scholarship? Answer: The application for this scholarship is 30th April 2026.
WINGS — WOMEN INSPIRING GROWTH IN STEM SCHOLARSHIP PROGRAM,logos\WINGS_—_WOMEN_INSPIRING_GROWTH_IN_STEM_SCHOLARSHIP.jpg,/page/wings-women-inspiring-growth-in-stem,https://www.buddy4study.com/page/wings-women-inspiring-growth-in-stem,30-Apr-26,Covers tuition fees of the students (INR 2 lakh p.a),For female undergraduate students enrolled at IIT Bombay,"IIT Bombay’s Distinguished Alumnus Bharat Desai and his wife, Neerja Sethi, have launched a new scholarship initiative at IIT Bombay for women in STEM, named WINGS — Women INspiring Growth in STEM Scholarship Program.  This initiative is aimed at breaking down financial barriers and championing women’s education in science, technology, engineering, and mathematics.  About  WINGS  This initiative, in collaboration with IIT Bombay and IITBHF (IIT Bombay Heritage Foundation), aims to expand access to and improve the quality of educational opportunities for female students in India. It believes that a world-class education from IIT Bombay will prepare female students to become future leaders.  The Program is intended to cover tuition expenses for female undergraduate students of IIT Bombay, beginning in the 2026–2027 academic year, excluding those who qualify for other government tuition grants or scholarship programs.",Female undergraduate students enrolled at IIT Bombay. Students not availing any other government tuition grant or scholarship. The scholarship will continue for students maintaining a CPI of 6.0 or higher.,The scholarship covers tuition fees (Rs 2 lakhs per annum) for women students meeting the above eligibility criteria.,No documents are required at this stage.,Click the ‘Show Interest’ button above. Login to Buddy4Study with your registered ID and land on the ‘Interest Form Page’. If not registered - Register at Buddy4Study with your Email/Mobile/Gmail account. You will now be redirected to the scholarship Interest form page. Fill in the required details in the online interest form. If all the details filled in by the applicant are correct click on the ‘Submit’ button to complete the process.,N/A,N/A,N/A,"In case of any queries, please reach out to:",N/A,"Q: What does the scholarship cover? | A: The Scholarship covers the tuition fees of 2 Lakh Rupees per year. || Q: What does the scholarship cover? | A: The Scholarship covers the tuition fees of 2 Lakh Rupees per year. || Q: Who can apply/ How can I apply? | A: Female students who are enrolled into UG programmes at IIT Bombay from 2026-27, can apply for the same on IIT Bombay's scholarship portal."
"NIRMAN SHRAMIK KALYAN YOJANA SCHOLARSHIP, ODISHA 2026-27","logos\NIRMAN_SHRAMIK_KALYAN_YOJANA_SCHOLARSHIP,_ODISHA_2.png",/scholarship/nirman-shramik-kalyan-yojana-scholarship-odisha-2026,https://www.buddy4study.com/scholarship/nirman-shramik-kalyan-yojana-scholarship-odisha-2026,30-Apr-26,"An annual financial assistance of up to ₹40,000",Students studying in Class 6 and above,"Nirman Shramik Kalyan Yojana Scholarship, Odisha 2026-27 is an opportunity offered by the Labour & ESI Department, Government of Odisha to General, ST, SC, OBC, SEBC, and EBC category students studying in Class 6 and above. The objective of this scheme is to provide financial support to the wards of construction workers for their studies. The selected students will receive educational assistance up to ₹40,000 per annum.",Students studying in Class 6 and above,"The selected candidates can receive the following benefits -   Particulars	Educational Assistance (in ₹ per annum) For Class 6 and 7 (to female children only)	2,000 For Class 8 (to all children)	2,000 For Class 9 (to all children)	3,000 For Class 10 (to all children)	4,000 Cash award to all children securing 90% or above in Class 10	10,000 For Class 11 and 12	5,000 For B.A., B.Sc.,B.Com. and PG studies	7,000 For B.Tech./B.C.A/M.B.A/B.Arch./M.Arch./M.Tech./M.Sc./B.Pharma./Hotel Management and catering services/Medical (includes allopathic, ayurvedic, and homeopathic) in government colleges only	40,000 For B.Ed/CT/Nursing training in government colleges	10,000  Note:- Female child will receive a 20% additional benefit over and above normal educational assistance.",Aadhaar card of the student Domicile certificate Aadhaar card of the parent registered with the Odisha Building and Other Construction Workers' Welfare (OB and OCWW) Board  Building and Other Construction (BOC) ID card of the parent Copy of passbook of parent's bank account with the account number and IFSC code of bank branch (parent must be a registered BOC worker) College ID card of the student Marksheet/certificate of qualifying examination,"Eligible candidates can apply by following these steps:- Step 1: Click the ‘Apply Now’ button below. Step 2: Click on the 'Register' button on the right-hand side of the dashboard and fill in the required details to 'Register'. (Note:- If already registered, log in using the registered email ID.) Step 3: Navigate to the 'Registration' tab, tick the check box, and click on the 'I Agree' button. Step 4: Read carefully and enter the required details to register. Step 5: After successful registration, log in with valid credentials. Step 6: Provide all necessary details like personal, academic eligibility, and bank information and click on the 'Save' button to draft the information Step 7: Click on the 'Next' to save and proceed with the scholarship form. Step 8: Upload the relevant documents and 'Submit' the application form.",Scholarship Deadline: 30 April 2026,The candidates will be selected based on the fulfilment of the eligibility criteria.,50% annual attendance is required to avail the scholarship benefits. The BOC beneficiary must have an active bank account with DBT enabled in their name. The registered BOC beneficiary must have made up-to-date annual contributions to the board.,"Labour & ESI Department, Government of Odisha 5th Floor, Kharavel Bhawan, Bhubaneswar-751001, Odisha Email ID: labsec.or@nic.in, labsec.or@gmail.com | Phone Number: (91)-674-2536770  Source: https://labour.odisha.gov.in/en",Apply online link,N/A
THE CADENCE/INVECAS SCHOLARSHIP PROGRAM 2026-27,logos\THE_CADENCEINVECAS_SCHOLARSHIP_PROGRAM_2026-27.jpg,/page/the-cadence-invecas-scholarship-program,https://www.buddy4study.com/page/the-cadence-invecas-scholarship-program,10-May-26,Financial support for key educational expenses,"For undergraduate or postgraduate courses in Delhi-NCR, Bangalore, Pune, Ahmedabad & Hyderabad regions","The Cadence/Invecas Scholarship program 2026-27 is conceptualized to be all-inclusive. Concern India foundation through support from Cadence Design Private Limited / Invecas, has envisioned the scholarship program with the focus on academically deserving students from an underprivileged background.  Under this scholarship, the students pursuing undergraduate or postgraduate courses in Delhi-NCR, Bangalore, Pune, Ahmedabad & Hyderabad regions will receive financial support for their key educational expenses.  Our accumulative reach since 2016 has been 728 deserving students from the regions specified. It has enabled them to pursue various degree/professional courses from government institutes/universities/ colleges and helped them chase their dreams.","Have successfully passed 12th class with a minimum overall score of 80%. Pursuing 12th can also apply on the basis of their previous record.  Comes from a lower-income group. Currently reside and study in Delhi NCR, Bangalore, Pune, Ahmedabad & Hyderabad only. (Applications from outside these regions will not be considered.) STEM-related courses and females will be given preference.",Selected students will receive financial support for key educational expenses.,N/A,"Click on the ‘Apply Now’ button. Log in to Buddy4Study using your registered ID to access the ‘Application Form page’. If you’re not registered, sign up on Buddy4Study using your Email, Mobile, or Google account. You will be redirected to the “The Cadence/Invecas Scholarship program 2026-27” application form page. A Google application form will open.  Fill the application form and submit.","Have successfully passed 12th class with a minimum overall score of 80%. Pursuing 12th can also apply on the basis of their previous record.  Comes from a lower-income group. Currently reside and study in Delhi NCR, Bangalore, Pune, Ahmedabad & Hyderabad only. (Applications from outside these regions will not be considered.) STEM-related courses and females will be given preference.",N/A,N/A,"In case of any queries, please reach out to:",N/A,"Q: Who is eligible to apply for the Cadence/Invecas Scholarship program 2026-27? | A: The program is open to undergraduate and postgraduate students in specific cities, with a minimum 80% in Class 12 or based on prior academic records. || Q: Who is eligible to apply for the Cadence/Invecas Scholarship program 2026-27? | A: The program is open to undergraduate and postgraduate students in specific cities, with a minimum 80% in Class 12 or based on prior academic records. || Q: Do I need to belong to a specific income group to be eligible? | A: No, applications are only accepted from students residing in Delhi-NCR, Bangalore, Pune, Ahmedabad, and Hyderabad. || Q: Do I need to belong to a specific income group to be eligible? | A: No, applications are only accepted from students residing in Delhi-NCR, Bangalore, Pune, Ahmedabad, and Hyderabad. || Q: What benefits will I receive if selected for the scholarship? | A: Yes, applicants must come from a lower-income household to be eligible. || Q: What is the application process for the Cadence/Invecas Scholarship program 2026-27? | A: Selected students will receive financial assistance to cover their key educational expenses."
"REIMBURSEMENT OF TUITION FEE FOR SC/ST/OBC (SCHOOL), DELHI 2025-26","logos\REIMBURSEMENT_OF_TUITION_FEE_FOR_SCSTOBC_(SCHOOL),.png",/scholarship/reimbursement-of-tuition-fee-for-sc-st-obc-school-delhi-2025,https://www.buddy4study.com/scholarship/reimbursement-of-tuition-fee-for-sc-st-obc-school-delhi-2025,31-May-26,"Reimbursement of tuition, lab, and library fees up to ₹48,000 or actual paid, whichever is less",SC/ST/OBC/minority students in Classes 1 to 12,"Reimbursement of Tuition Fee for SC/ST/OBC (School), Delhi 2025-26 is an opportunity offered by the Department for the Welfare of SC/ST, Government of NCT of Delhi, for students studying in Classes 1 to 12. This scholarship aims to provide reimbursement of the tuition and other compulsory fees to SC, ST OBC, and minority students studying in recognised public schools in Delhi. The selected students will receive up to a 100% reimbursement.",SC/ST/OBC/minority students in Classes 1 to 12,"The selected students will receive reimbursement as follows:-  For income up to ₹60,000: 100% For income of ₹60,001 - ₹2,00,000: 75%","Income certificate issued by the competent authority of Delhi Caste certificate (SC/ST/OBC) issued in the name of the student or his father’s name by SDM/Deputy Commissioner (Revenue), Government of National Capital Territory of Delhi (GNCTD) Domicile certificate by the competent authority of Govt. of NCT of Delhi Marksheet of the previous academic year Aadhaar-seeded bank account details of the student (Note:- A joint bank account with a parent/guardian is also permissible) Original fee receipts for the current academic session","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to 'Apply Services' and click the 'Register' button. Step 4: Select the Aadhaar card for the document type and enter the Aadhaar number and captcha code.  Step 5: Tick the checkbox and click on the 'Continue' button. Step 6: Now, log in using the credentials (user ID, password, and captcha code).  Step 7: Enter the relevant details and select the scholarship scheme. Step 8: Upload the required documents and click on the 'Submit' button.",Application deadline: 31 May 2026,The students will be selected based on the fulfilment of the eligibility criteria.,N/A,"Welfare of SC/ST, Government of NCT of Delhi B-Block, 2nd floor, Vikas bhawan, Government of NCT of Delhi Department I.P. Estate New Delhi - 110002 Phone number: 011-23379512  Source : https://scstwelfare.delhi.gov.in/",Apply online link Media Link,N/A
"MERIT SCHOLARSHIP FOR SC/ST/OBC STUDENTS (COLLEGE/PROFESSIONAL INSTITUTIONS), DELHI 2025-26",logos\MERIT_SCHOLARSHIP_FOR_SCSTOBC_STUDENTS_(COLLEGEPRO.png,/scholarship/merit-scholarship-for-sc-st-obc-students-college-professional-institutions-delhi-2025,https://www.buddy4study.com/scholarship/merit-scholarship-for-sc-st-obc-students-college-professional-institutions-delhi-2025,31-May-26,"Up to ₹22,320 per annum","Students pursuing graduation, postgraduation and certificate/diploma courses","Merit Scholarship for SC/ST/OBC Students (College/Professional Institutions), Delhi 2025-26 is an opportunity offered by the Department for the Welfare of SC/ST/OBC/Minority, Government of NCT of Delhi, to the students pursuing UG/PG degree or diploma courses. This scholarship aims to provide financial assistance to the SC, ST, and OBC category students. The selected students will receive up to ₹22,320 per annum.","Students pursuing graduation, postgraduation and certificate/diploma courses","Selected candidates will receive the scholarship according to their respective course:-  Day scholar: ₹5,040 - 11,520 per annum Hosteler: ₹9,648 - 22,320 per annum","Caste certificate in the name of the student or father issued by SDM/Deputy Commissioner (Revenue), Government of National Capital Territory of Delhi (GNCT) Marksheet/certificate of the previous academic year Income certificate issued by competent authorities (Government of National Capital Territory of Delhi)  Domicile certificate by the competent authority (Government of NCT of Delhi) Gap certificate (in case of gap in studies for up to 3 years)","Follow the steps mentioned below to apply:-  Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to the 'Apply Services' and click on the 'Register' button. Step 4: Select the Aadhaar card, then enter the Aadhaar number and the captcha code.  Step 5: Tick the checkbox and click on the 'Continue' button. Step 6: Now, login using the credentials (user ID, password, and captcha code).  Step 7: Enter the relevant details and select the scholarship scheme. Step 8: Upload the required documents and click on the 'Submit' button.  Note:- It is mandatory for all SC applicants to complete the One Time Registration (OTR) on NSP.",Application Deadline: 31 May 2026,The students will be selected on the basis of fulfilment of the eligibility criteria.,N/A,"Department for the welfare of SC/ST/OBC, Government of NCT of Delhi B Block, 2nd floor, Vikas Bhawan, IP Estate, New Delhi-110002 Email ID: dscstschscheme.delhi@gov.in | Phone Number: 011-23379511  Source : https://scstwelfare.delhi.gov.in/",Media Link Apply online link,N/A
"DR. BR AMBEDKAR SCHOLARSHIP FOR TOPPER AWARD, DELHI 2025-26","logos\DR._BR_AMBEDKAR_SCHOLARSHIP_FOR_TOPPER_AWARD,_DELH.png",/scholarship/dr-br-ambedkar-scholarship-for-topper-award-delhi-2025,https://www.buddy4study.com/scholarship/dr-br-ambedkar-scholarship-for-topper-award-delhi-2025,31-May-26,"₹8,000 per stream",SC/ST/OBC/Minoritiy students pursuing professional/technical degree courses,"Dr. BR Ambedkar Scholarship for Topper Award, Delhi 2025-26 is an opportunity offered by the Department for the Welfare of SC/ST, Government of NCT of Delhi, for topper students belonging to SC/ST/OBC category studying in the technical/professional course. Selected candidates will be awarded ₹8,000 for each stream.",SC/ST/OBC/Minoritiy students pursuing professional/technical degree courses,"Selected candidates will receive an award of ₹8,000 in each stream.",Caste certificate (SC/ST/OBC) issued by the competent authority of Delhi Certificate/diploma/degree/marksheet for all previous qualifying examinations,"Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to 'Apply Services' and click on it.  Step 4: Now, click on the 'Register' button, select the Aadhaar card for the document type, enter the Aadhaar number and captcha code.  Step 5: Tick the checkbox and click on the 'Continue' button to register. Step 6: After successful registration, log in using the credentials (user ID, password, and captcha code).  Step 7: Select the scholarship scheme and fillin  the relevant details. Step 8: Upload the required documents in the prescribed format and click on the 'Submit' button.",Application deadline: 31 May 2026,Selection of the students will be based on merit and fulfilment of the eligibility criteria.,The topper student is awarded only once after passing out of the final examination of the course.  This scholarship does not have a family income limit.,"Department for the Welfare of SC/ST/OBC/Minorities B-Block, 2nd Floor Vikas Bhawan, I.P. Estate New Delhi-110002 Phone Number: (011) 23379512  Source : https://ambedkarfoundation.nic.in",Apply online link Media Link,"Question: Who is eligible for this scholarship? Answer: Students belonging to the SC/ST/OBC/Minority category and pursuing a professional/technical course are eligible.  Question: Is there a merit requirement for this scholarship? Answer: Students who score the highest in their respective class/course will be awarded.  Question: Who is offering the scholarship? Answer: This scholarship is being offered by the Department for the Welfare of SC/ST, Government of NCT of Delhi.  Question: What is the income limit for this scholarship? Answer: There is no income limit as this is a merit-based scholarship.  Question: What is the mode of application for this scholarship? Answer: The application for this scholarship is online."
"POST-MATRIC SCHOLARSHIP FOR OBC STUDENTS, DELHI 2025-26","logos\POST-MATRIC_SCHOLARSHIP_FOR_OBC_STUDENTS,_DELHI_20.png",/scholarship/postmatric-scholarship-for-obc-students-delhi-2025,https://www.buddy4study.com/scholarship/postmatric-scholarship-for-obc-students-delhi-2025,31-May-26,Up to ₹750 per month with other benefits,OBC students in Class 11 and above,"Post-Matric Scholarship for OBC Students, Delhi 2025-26 is a centrally-sponsored scholarship offered by the Ministry of Social Justice and Empowerment, Government of India, and managed by the Department of Welfare of SC/ST/OBC. The scholarship aims to provide financial assistance to support students who are studying at the post-matriculation/post-secondary level. The selected students will receive up to ₹750 per month and other benefits.",OBC students in Class 11 and above,"Selected students will receive the scholarship in the following manner:-  Day scholars: ₹260-₹750 per month Hostelers: ₹160-₹350 per month Full Tuition Fee, Registration Fee, Examination Fee, as applicable","Aadhaar card of the applicant Aadhaar-seeded bank account details of the student Certificate, diploma, degree, marksheet for all previously passed examinations Caste certificate issued in the name of the students or their father’s by the competent authority of the Government of NCT of Delhi Original fee receipts for the current academic session Fee structure with the official letterhead of the concerned institute with stamp and signature of the head of the institute Income certificate issued by the competent authority SDM/Deputy Commissioner (Revenue), GNCTD] of Delhi Certificate from the institution confirming that the student is not receiving any other scholarship or stipend","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to 'Apply Services' and click on it.  Step 4: Now, click on the 'Register' button, select the Aadhaar card for the document type, enter the Aadhaar number and captcha code.  Step 5: Tick the checkbox and click on the 'Continue' button to register. Step 6: After successful registration, log in using the credentials (user ID, password, and captcha code).  Step 7: Select the scholarship scheme and fill in the relevant details. Step 8: Upload the required documents in the prescribed format and click on the 'Submit' button.",Application deadline: 31 May 2026,Selection of the candidates will be based on the fulfilment of the eligibility criteria.,N/A,"Department for the Welfare of SC/ST/OBC/Minorities B-Block, 2nd Floor Vikas Bhawan, I.P. Estate New Delhi-110002 Phone Number: (011) 23379512  Source : https://scstwelfare.delhi.gov.in/",Apply online link Media Link,"Question: Who is offering this scholarship? Answer: The Department for the Welfare of SC/ST/OBC/Minority, Government of NCT of Delhi is offering this opportunity.  Question: Is there a merit requirement for this scholarship? Answer: A minimum of 75% marks in the previous academic year is necessary for this scholarship.  Question: How will the students receive the award? Answer: The award will be disbursed into the Aadhaar-linked bank account of the student.  Question: What is the mode of application for this scholarship? Answer: The application for this scholarship is online through he official e-distric portal of Delhi."
"PRE-MATRIC SCHOLARSHIP FOR OBC STUDENTS, DELHI 2025-26","logos\PRE-MATRIC_SCHOLARSHIP_FOR_OBC_STUDENTS,_DELHI_202.png",/scholarship/prematric-scholarship-for-obc-students-delhi-2025,https://www.buddy4study.com/scholarship/prematric-scholarship-for-obc-students-delhi-2025,31-May-26,Up to ₹500 per annum,OBC students in Classes 1 to 10,"Pre-Matric Scholarship for OBC Students, Delhi 2025-26 is an initiative of the Department for the Welfare of SC/ST/OBC/Minority, Government of NCT Delhi to the OBC category students studying in Classes 1 to 10 in Government schools. The selected students will receive up to ₹500 per month.",OBC students in Classes 1 to 10,"Selected students will receive:-  Day Scholars: ₹100 per month (class 1 to 10, minimum 60% attendance in previous year) Hostelers: ₹500 per month (class 3 to 10)","Caste certificate in the name of student or father issued by SDM/Deputy Commissioner (Revenue), GNCT of Delhi Mark sheet of the previous academic year Income certificate issued by competent authorities (SDM/Deputy Commissioner of Revenue, GNCTD)  Domicile certificate by the competent authority (Government of NCT of Delhi) Bank account in the name of the student (must linked with the Aadhaar card","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to 'Apply Services' and click on it.  Step 4: Now, click on the 'Register' button, select the Aadhaar card for the document type, and enter the Aadhaar number and captcha code.  Step 5: Tick the checkbox and click on the 'Continue' button to register. Step 6: After successful registration, log in using the credentials (user ID, password, and captcha code).  Step 7: Select the scholarship scheme and fillin  the relevant details. Step 8: Upload the required documents in the prescribed format and click on the 'Submit' button.",Application Deadline: 31st March 2026,The selection will be based on the fulfilment of the eligibility criteria.,N/A,"Department for the Welfare of SC/ST/OBC/Minorities B-Block, 2nd Floor Vikas Bhawan, I.P. Estate New Delhi-110002 Phone Number: (011) 23379512  Source : https://scstwelfare.delhi.gov.in/",Media Link Apply online link,"Question: Are all pre-matric students eligible for this scholarship? Answer: Yes, all students from class 1 through 10 are eligible.  Question: Is there a merit requirement for this scholarship? Answer: A minimum of 75% of marks in the previous academic year is required to be eligible for this scholarships.  Question: Who is providing this scholarship? Answer: The Department for the Welfare of SC/ST/OBC/Minority, Government of NCT of Delhi is offering this opportunity​​​​​​.  Question: How will the students receive the award? Answer: The award will be disbursed into the Aadhaar-linked bank account of the student.  Question: Is this scholarship renewable? Answer: The scholarship is renewable until the student passes Class 10, subject to satisfactory academic performance and 75% annual attendance."
